iteration,time,steps,cost,best_cost,benchmark,shake_operator,improvement
1,0.19820570945739746,3992,1701.0,1701.0,1610,relocate,-304.0
1,0.24364662170410156,5423,1701.0,1701.0,1610,swap,0.0
1,0.2637209892272949,6503,1701.0,1701.0,1610,2opt,0.0
1,0.28373193740844727,7583,1701.0,1701.0,1610,relocate,0.0
1,0.32524585723876953,9014,1701.0,1701.0,1610,swap,0.0
1,0.35284948348999023,10094,1701.0,1701.0,1610,2opt,0.0
1,0.36766815185546875,10823,1701.0,1701.0,1610,relocate,0.0
1,0.4585130214691162,14763,1658.0,1658.0,1610,swap,-43.0
2,0.49005722999572754,16246,1708.0,1658.0,1610,relocate,50.0
2,0.5304899215698242,18054,1740.0,1658.0,1610,swap,82.0
2,0.5532410144805908,19134,1658.0,1658.0,1610,2opt,0.0
2,0.5739922523498535,20214,1708.0,1658.0,1610,relocate,50.0
2,0.5936586856842041,21294,1658.0,1658.0,1610,swap,0.0
2,0.6194689273834229,22374,1658.0,1658.0,1610,2opt,0.0
2,0.6829490661621094,24910,1739.0,1658.0,1610,relocate,81.0
2,0.7081537246704102,26341,1658.0,1658.0,1610,swap,0.0
3,0.754086971282959,28552,1693.0,1658.0,1610,relocate,35.0
3,0.7977099418640137,29983,1658.0,1658.0,1610,swap,0.0
3,0.8189070224761963,31063,1658.0,1658.0,1610,2opt,0.0
3,0.8344135284423828,31792,1658.0,1658.0,1610,relocate,0.0
3,0.8550519943237305,32872,1643.0,1643.0,1610,swap,-15.0
3,0.8697960376739502,33601,1643.0,1643.0,1610,2opt,0.0
3,0.8980653285980225,35084,1676.0,1643.0,1610,relocate,33.0
3,0.9229276180267334,36515,1643.0,1643.0,1610,swap,0.0
4,0.9951572418212891,39025,1676.0,1643.0,1610,swap,33.0
4,1.0534658432006836,41938,1678.0,1643.0,1610,relocate,35.0
4,1.0738918781280518,43018,1643.0,1643.0,1610,2opt,0.0
4,1.1006441116333008,44449,1643.0,1643.0,1610,swap,0.0
4,1.2143983840942383,47310,1663.0,1643.0,1610,relocate,20.0
4,1.2468836307525635,48390,1643.0,1643.0,1610,2opt,0.0
4,1.3357324600219727,49821,1643.0,1643.0,1610,swap,0.0
4,1.4278972148895264,50901,1693.0,1643.0,1610,relocate,50.0
5,1.516716480255127,53463,1678.0,1643.0,1610,relocate,35.0
5,1.54563307762146,54894,1643.0,1643.0,1610,swap,0.0
5,1.571420669555664,55974,1643.0,1643.0,1610,2opt,0.0
5,1.5921294689178467,57054,1643.0,1643.0,1610,relocate,0.0
5,1.6240150928497314,58485,1643.0,1643.0,1610,swap,0.0
5,1.6446154117584229,59565,1643.0,1643.0,1610,2opt,0.0
5,1.6985108852386475,62426,1663.0,1643.0,1610,relocate,20.0
5,1.7243883609771729,63857,1643.0,1643.0,1610,swap,0.0
6,1.7844271659851074,66419,1678.0,1643.0,1610,relocate,35.0
6,1.8055531978607178,67499,1643.0,1643.0,1610,swap,0.0
6,1.825385332107544,68579,1643.0,1643.0,1610,2opt,0.0
6,1.8453381061553955,69659,1643.0,1643.0,1610,relocate,0.0
6,1.8795604705810547,71090,1643.0,1643.0,1610,swap,0.0
6,1.8985698223114014,72170,1643.0,1643.0,1610,2opt,0.0
6,1.9215912818908691,73250,1643.0,1643.0,1610,relocate,0.0
6,1.9630775451660156,74681,1643.0,1643.0,1610,swap,0.0
7,2.0044939517974854,76840,1661.0,1643.0,1610,relocate,18.0
7,2.031331777572632,78271,1643.0,1643.0,1610,swap,0.0
