iteration,time,steps,cost,best_cost,benchmark,vnd_method,shake_operator,improvement,prob_sequential,prob_pipe,prob_nested,prob_variable,prob_cyclic
0,0.0,0,2005.0,2005.0,1610,,,0.0,0.2,0.2,0.2,0.2,0.2
1,0.09410452842712402,4265,1658.0,1658.0,1610,sequential,relocate,-347.0,0.2,0.2,0.2,0.2,0.2
1,0.12399053573608398,5696,1658.0,1658.0,1610,pipe,swap,0.0,0.09090959868502375,0.22727260032874408,0.22727260032874408,0.22727260032874408,0.22727260032874408
1,0.14170169830322266,6427,1689.0,1658.0,1610,variable,2opt,31.0,0.09090959868502375,0.22727260032874408,0.22727260032874408,0.22727260032874408,0.22727260032874408
1,0.16142535209655762,6840,1799.0,1658.0,1610,variable,relocate,141.0,0.10000054350528713,0.22114954811493387,0.22114954811493387,0.2365508121499113,0.22114954811493387
1,0.21556782722473145,8600,1964.0,1658.0,1610,variable,swap,306.0,0.1000003436533644,0.13983081314084247,0.13983081314084247,0.48050721692410814,0.13983081314084247
1,0.255206823348999,9680,1658.0,1658.0,1610,pipe,2opt,0.0,0.10000033066237035,0.134544843472466,0.134544843472466,0.49636513892023154,0.134544843472466
1,0.2708601951599121,10435,1698.0,1658.0,1610,nested,relocate,40.0,0.10000033066237035,0.134544843472466,0.134544843472466,0.49636513892023154,0.134544843472466
1,0.31115150451660156,12594,1658.0,1658.0,1610,cyclic,swap,0.0,0.10000030399896985,0.12369564086965718,0.20433197239156425,0.44827644187015164,0.12369564086965718
2,0.34395694732666016,14402,1658.0,1658.0,1610,cyclic,relocate,0.0,0.10000030399896985,0.12369564086965718,0.20433197239156425,0.44827644187015164,0.12369564086965718
2,0.3515737056732178,14808,1710.0,1658.0,1610,variable,swap,52.0,0.10000030399896985,0.12369564086965718,0.20433197239156425,0.44827644187015164,0.12369564086965718
2,0.3634777069091797,15467,1835.0,1658.0,1610,variable,2opt,177.0,0.10000030609643074,0.12454908708506923,0.2057417742835244,0.4451597454499064,0.12454908708506923
